site_no,Date,Temp,Cond,PSU
02246500-M,1/1/2008 1:00,NA,NA,6.33325243
02246500-M,1/1/2008 2:00,NA,NA,5.229911804
02246500-M,1/1/2008 3:00,NA,NA,4.305892944
02246500-M,1/1/2008 4:00,NA,NA,3.208198071
02246500-M,1/1/2008 5:00,NA,NA,2.433340549
02246500-M,1/1/2008 6:00,NA,NA,2.108417273
02246500-M,1/1/2008 7:00,NA,NA,2.303889751
02246500-M,1/1/2008 8:00,NA,NA,2.572746992
02246500-M,1/1/2008 9:00,NA,NA,3.110951185
02246500-M,1/1/2008 10:00,NA,NA,4.281857014
02246500-M,1/1/2008 11:00,NA,NA,6.011392593
02246500-M,1/1/2008 12:00,NA,NA,7.739319801
02246500-M,1/1/2008 13:00,NA,NA,7.819714546
02246500-M,1/1/2008 14:00,NA,NA,6.059748173
02246500-M,1/1/2008 15:00,NA,NA,4.249783039
02246500-M,1/1/2008 16:00,NA,NA,3.286729574
02246500-M,1/1/2008 17:00,NA,NA,2.608896017
02246500-M,1/1/2008 18:00,NA,NA,2.098536968
02246500-M,1/1/2008 19:00,NA,NA,1.835700154
02246500-M,1/1/2008 20:00,NA,NA,1.989679694
02246500-M,1/1/2008 21:00,NA,NA,2.388780355
02246500-M,1/1/2008 22:00,NA,NA,2.950985432
02246500-M,1/1/2008 23:00,NA,NA,3.759487391
02246500-M,1/2/2008 0:00,NA,NA,4.686022282
02246500-M,1/2/2008 1:00,NA,NA,3.997850657
02246500-M,1/2/2008 2:00,NA,NA,3.022671938
02246500-M,1/2/2008 3:00,NA,NA,2.340453148
02246500-M,1/2/2008 4:00,NA,NA,1.659073353
02246500-M,1/2/2008 5:00,NA,NA,0.922011137
02246500-M,1/2/2008 6:00,NA,NA,0.539900839
02246500-M,1/2/2008 7:00,NA,NA,0.431220531
02246500-M,1/2/2008 8:00,NA,NA,0.439132571
02246500-M,1/2/2008 9:00,NA,NA,0.555294394
02246500-M,1/2/2008 10:00,NA,NA,0.654617906
02246500-M,1/2/2008 11:00,NA,NA,1.094573379
02246500-M,1/2/2008 12:00,NA,NA,1.608302116
02246500-M,1/2/2008 13:00,NA,NA,2.25100112
02246500-M,1/2/2008 14:00,NA,NA,2.369692802
02246500-M,1/2/2008 15:00,NA,NA,1.571372986
02246500-M,1/2/2008 16:00,NA,NA,1.068464994
02246500-M,1/2/2008 17:00,NA,NA,0.729510367
02246500-M,1/2/2008 18:00,NA,NA,0.533746839
02246500-M,1/2/2008 19:00,NA,NA,0.424659759
02246500-M,1/2/2008 20:00,NA,NA,0.44185549
02246500-M,1/2/2008 21:00,NA,NA,0.502320051
02246500-M,1/2/2008 22:00,NA,NA,0.552679718
02246500-M,1/2/2008 23:00,NA,NA,0.85683012
02246500-M,1/3/2008 0:00,NA,NA,1.284258366
02246500-M,1/3/2008 1:00,NA,NA,1.748790622
02246500-M,1/3/2008 2:00,NA,NA,1.450189471
02246500-M,1/3/2008 3:00,NA,NA,0.929022014
02246500-M,1/3/2008 4:00,NA,NA,0.576816618
02246500-M,1/3/2008 5:00,NA,NA,0.393359303
02246500-M,1/3/2008 6:00,NA,NA,0.229802474
02246500-M,1/3/2008 7:00,NA,NA,0.239706188
02246500-M,1/3/2008 8:00,NA,NA,0.28569603
02246500-M,1/3/2008 9:00,NA,NA,0.301580191
02246500-M,1/3/2008 10:00,NA,NA,0.429399461
02246500-M,1/3/2008 11:00,NA,NA,1.050182343
02246500-M,1/3/2008 12:00,NA,NA,2.256976366
02246500-M,1/3/2008 13:00,NA,NA,4.102129936
02246500-M,1/3/2008 14:00,NA,NA,5.973326683
02246500-M,1/3/2008 15:00,NA,NA,7.75831461
02246500-M,1/3/2008 16:00,NA,NA,7.894118309
02246500-M,1/3/2008 17:00,NA,NA,6.19999361
02246500-M,1/3/2008 18:00,NA,NA,4.591698647
02246500-M,1/3/2008 19:00,NA,NA,3.680579185
02246500-M,1/3/2008 20:00,NA,NA,3.210558891
02246500-M,1/3/2008 21:00,NA,NA,3.884418726
02246500-M,1/3/2008 22:00,NA,NA,5.599183083
02246500-M,1/3/2008 23:00,NA,NA,6.697459698
02246500-M,1/4/2008 0:00,NA,NA,7.574396133
02246500-M,1/4/2008 1:00,NA,NA,8.534152031
02246500-M,1/4/2008 2:00,NA,NA,9.953093529
02246500-M,1/4/2008 3:00,NA,NA,9.602207184
02246500-M,1/4/2008 4:00,NA,NA,7.810534477
02246500-M,1/4/2008 5:00,NA,NA,5.935624599
02246500-M,1/4/2008 6:00,NA,NA,4.817734718
02246500-M,1/4/2008 7:00,NA,NA,3.370282173
02246500-M,1/4/2008 8:00,NA,NA,2.516495705
02246500-M,1/4/2008 9:00,NA,NA,2.663093567
02246500-M,1/4/2008 10:00,NA,NA,3.576671839
02246500-M,1/4/2008 11:00,NA,NA,5.158333302
02246500-M,1/4/2008 12:00,NA,NA,7.391559601
02246500-M,1/4/2008 13:00,NA,NA,10.20449638
02246500-M,1/4/2008 14:00,NA,NA,12.01564026
02246500-M,1/4/2008 15:00,NA,NA,13.80574703
02246500-M,1/4/2008 16:00,NA,NA,13.8266573
02246500-M,1/4/2008 17:00,NA,NA,12.04862785
02246500-M,1/4/2008 18:00,NA,NA,9.501266479
02246500-M,1/4/2008 19:00,NA,NA,7.576070786
02246500-M,1/4/2008 20:00,NA,NA,6.125692844
02246500-M,1/4/2008 21:00,NA,NA,5.182979584
02246500-M,1/4/2008 22:00,NA,NA,4.896610737
02246500-M,1/4/2008 23:00,NA,NA,5.708432674
02246500-M,1/5/2008 0:00,NA,NA,6.560270309
02246500-M,1/5/2008 1:00,NA,NA,8.328861237
